boat_id;x;y;width;height;timestamp
Boat 6;378;664;58;48;0.0
Boat 7;69;656;125;103;0.0
Boat 8;74;610;107;47;0.0
Boat 9;39;516;109;81;0.0
Boat 10;594;445;96;57;0.0
Boat 11;40;427;129;41;0.0
Boat 12;55;437;70;25;0.0
Boat 12;24;1016;84;59;0.46713333333333334
Boat 12;11;896;65;120;0.46713333333333334
Boat 12;283;887;58;99;0.46713333333333334
Boat 12;96;853;82;97;0.46713333333333334
Boat 12;83;746;53;52;0.46713333333333334
Boat 12;378;664;58;48;0.46713333333333334
Boat 12;69;656;125;103;0.46713333333333334
Boat 12;74;610;107;47;0.46713333333333334
Boat 12;39;516;109;81;0.46713333333333334
Boat 12;594;445;96;57;0.46713333333333334
Boat 12;40;427;129;41;0.46713333333333334
Boat 12;55;437;70;25;0.46713333333333334
Boat 1;90;848;44;83;0.0
Boat 2;208;473;129;58;0.0
Boat 3;1687;287;171;35;0.0
Boat 3;90;848;44;83;0.5005000000000001
Boat 3;208;473;129;58;0.5005000000000001
Boat 3;1687;287;171;35;0.5005000000000001
Boat 1;5;991;40;37;0.0
Boat 2;22;942;40;55;0.0
Boat 3;105;859;85;79;0.0
Boat 4;52;704;116;40;0.0
Boat 5;65;704;27;33;0.0
Boat 6;1034;554;102;98;0.0
Boat 7;0;490;214;139;0.0
Boat 7;5;991;40;37;0.5338666666666667
Boat 7;22;942;40;55;0.5338666666666667
Boat 7;105;859;85;79;0.5338666666666667
Boat 7;52;704;116;40;0.5338666666666667
Boat 7;65;704;27;33;0.5338666666666667
Boat 7;1034;554;102;98;0.5338666666666667
Boat 7;0;490;214;139;0.5338666666666667
Boat 1;0;936;57;87;0.0
Boat 2;404;831;73;62;0.0
Boat 3;437;850;40;29;0.0
Boat 4;222;633;71;52;0.0
Boat 5;250;652;26;27;0.0
Boat 6;558;591;82;42;0.0
Boat 7;1031;551;89;77;0.0
Boat 8;197;486;191;100;0.0
Boat 8;0;936;57;87;0.5672333333333334
Boat 8;404;831;73;62;0.5672333333333334
Boat 8;437;850;40;29;0.5672333333333334
Boat 8;222;633;71;52;0.5672333333333334
Boat 8;250;652;26;27;0.5672333333333334
Boat 8;558;591;82;42;0.5672333333333334
Boat 8;1031;551;89;77;0.5672333333333334
Boat 8;197;486;191;100;0.5672333333333334
Boat 1;0;975;54;54;0.0
Boat 2;68;598;112;67;0.0
Boat 3;1033;554;56;79;0.0
Boat 4;616;530;151;50;0.0
Boat 5;916;474;67;81;0.0
Boat 6;41;434;306;136;0.0
Boat 6;0;975;54;54;0.6006
Boat 6;68;598;112;67;0.6006
Boat 6;1033;554;56;79;0.6006
Boat 6;616;530;151;50;0.6006
Boat 6;916;474;67;81;0.6006
Boat 6;41;434;306;136;0.6006
Boat 1;3;948;54;81;0.0
Boat 2;0;684;116;74;0.0
Boat 3;313;656;148;68;0.0
Boat 4;342;676;60;28;0.0
Boat 5;27;617;54;26;0.0
Boat 6;28;610;204;98;0.0
Boat 7;1045;555;33;47;0.0
Boat 8;53;417;138;60;0.0
Boat 9;67;436;82;31;0.0
Boat 9;3;948;54;81;0.6339666666666667
Boat 9;0;684;116;74;0.6339666666666667
Boat 9;313;656;148;68;0.6339666666666667
Boat 9;342;676;60;28;0.6339666666666667
Boat 9;27;617;54;26;0.6339666666666667
Boat 9;28;610;204;98;0.6339666666666667
Boat 9;1045;555;33;47;0.6339666666666667
Boat 9;53;417;138;60;0.6339666666666667
Boat 9;67;436;82;31;0.6339666666666667
Boat 1;320;609;154;66;0.0
Boat 2;407;540;292;116;0.0
Boat 3;1025;526;144;50;0.0
Boat 4;685;484;155;81;0.0
Boat 5;0;364;198;86;0.0
Boat 5;320;609;154;66;0.6673333333333333
Boat 5;407;540;292;116;0.6673333333333333
Boat 5;1025;526;144;50;0.6673333333333333
Boat 5;685;484;155;81;0.6673333333333333
Boat 5;0;364;198;86;0.6673333333333333
Boat 1;135;1000;58;38;0.0
Boat 2;21;684;98;53;0.0
Boat 3;83;655;76;34;0.0
Boat 4;336;628;126;83;0.0
Boat 5;1056;627;70;42;0.0
Boat 6;687;524;124;41;0.0
Boat 7;0;514;178;93;0.0
Boat 8;588;421;233;73;0.0
Boat 9;373;354;141;51;0.0
Boat 10;37;348;177;84;0.0
Boat 10;135;1000;58;38;0.7007
Boat 10;21;684;98;53;0.7007
Boat 10;83;655;76;34;0.7007
Boat 10;336;628;126;83;0.7007
Boat 10;1056;627;70;42;0.7007
Boat 10;687;524;124;41;0.7007
Boat 10;0;514;178;93;0.7007
Boat 10;588;421;233;73;0.7007
Boat 10;373;354;141;51;0.7007
Boat 10;37;348;177;84;0.7007
Boat 1;6;993;50;35;0.0
Boat 2;19;756;65;47;0.0
Boat 3;45;761;33;28;0.0
Boat 4;23;683;107;46;0.0
Boat 5;43;694;73;33;0.0
Boat 6;1046;554;86;114;0.0
Boat 7;274;547;117;91;0.0
Boat 8;0;471;285;120;0.0
Boat 9;94;361;247;74;0.0
Boat 10;164;385;89;33;0.0
Boat 10;6;993;50;35;0.7340666666666666
Boat 10;19;756;65;47;0.7340666666666666
Boat 10;45;761;33;28;0.7340666666666666
Boat 10;23;683;107;46;0.7340666666666666
Boat 10;43;694;73;33;0.7340666666666666
Boat 10;1046;554;86;114;0.7340666666666666
Boat 10;274;547;117;91;0.7340666666666666
Boat 10;0;471;285;120;0.7340666666666666
Boat 10;94;361;247;74;0.7340666666666666
Boat 10;164;385;89;33;0.7340666666666666
Boat 1;213;1020;76;60;0.0
Boat 2;28;882;94;79;0.0
Boat 3;325;719;82;55;0.0
Boat 4;77;715;39;39;0.0
Boat 5;1090;601;38;66;0.0
Boat 6;0;545;159;105;0.0
Boat 7;326;483;139;65;0.0
Boat 8;380;502;51;19;0.0
Boat 9;92;483;90;46;0.0
Boat 9;213;1020;76;60;0.7674333333333333
Boat 9;28;882;94;79;0.7674333333333333
Boat 9;325;719;82;55;0.7674333333333333
Boat 9;77;715;39;39;0.7674333333333333
Boat 9;1090;601;38;66;0.7674333333333333
Boat 9;0;545;159;105;0.7674333333333333
Boat 9;326;483;139;65;0.7674333333333333
Boat 9;380;502;51;19;0.7674333333333333
Boat 9;92;483;90;46;0.7674333333333333
Boat 1;0;949;127;73;0.0
Boat 2;473;673;144;72;0.0
Boat 3;269;485;238;89;0.0
Boat 4;432;478;162;67;0.0
Boat 5;830;474;183;81;0.0
Boat 6;673;341;165;53;0.0
Boat 6;0;949;127;73;0.8008000000000001
Boat 6;473;673;144;72;0.8008000000000001
Boat 6;269;485;238;89;0.8008000000000001
Boat 6;432;478;162;67;0.8008000000000001
Boat 6;830;474;183;81;0.8008000000000001
Boat 6;673;341;165;53;0.8008000000000001
Boat 1;485;761;123;68;0.0
Boat 2;107;678;136;98;0.0
Boat 3;242;676;134;53;0.0
Boat 4;285;691;48;30;0.0
Boat 5;28;620;61;29;0.0
Boat 6;1056;579;74;91;0.0
Boat 7;1068;596;40;33;0.0
Boat 8;259;575;156;60;0.0
Boat 9;276;582;57;31;0.0
Boat 10;1035;525;87;63;0.0
Boat 11;734;500;113;47;0.0
Boat 12;37;456;150;54;0.0
Boat 13;83;476;45;22;0.0
Boat 13;485;761;123;68;0.8341666666666667
Boat 13;107;678;136;98;0.8341666666666667
Boat 13;242;676;134;53;0.8341666666666667
Boat 13;285;691;48;30;0.8341666666666667
Boat 13;28;620;61;29;0.8341666666666667
Boat 13;1056;579;74;91;0.8341666666666667
Boat 13;1068;596;40;33;0.8341666666666667
Boat 13;259;575;156;60;0.8341666666666667
Boat 13;276;582;57;31;0.8341666666666667
Boat 13;1035;525;87;63;0.8341666666666667
Boat 13;734;500;113;47;0.8341666666666667
Boat 13;37;456;150;54;0.8341666666666667
Boat 13;83;476;45;22;0.8341666666666667
Boat 1;45;948;94;69;0.0
Boat 2;45;981;25;31;0.0
Boat 3;203;775;120;60;0.0
Boat 4;44;693;155;121;0.0
Boat 5;151;705;48;37;0.0
Boat 6;390;649;79;45;0.0
Boat 7;92;581;79;81;0.0
Boat 8;1050;579;85;75;0.0
Boat 9;0;563;102;80;0.0
Boat 10;333;487;167;61;0.0
Boat 11;523;443;188;54;0.0
Boat 12;541;340;321;129;0.0
Boat 12;45;948;94;69;0.8675333333333334
Boat 12;45;981;25;31;0.8675333333333334
Boat 12;203;775;120;60;0.8675333333333334
Boat 12;44;693;155;121;0.8675333333333334
Boat 12;151;705;48;37;0.8675333333333334
Boat 12;390;649;79;45;0.8675333333333334
Boat 12;92;581;79;81;0.8675333333333334
Boat 12;1050;579;85;75;0.8675333333333334
Boat 12;0;563;102;80;0.8675333333333334
Boat 12;333;487;167;61;0.8675333333333334
Boat 12;523;443;188;54;0.8675333333333334
Boat 12;541;340;321;129;0.8675333333333334
Boat 1;0;594;81;52;0.0
Boat 2;1024;579;113;65;0.0
Boat 3;934;495;55;30;0.0
Boat 3;0;594;81;52;0.9009
Boat 3;1024;579;113;65;0.9009
Boat 3;934;495;55;30;0.9009
Boat 1;60;994;63;66;0.0
Boat 2;120;992;20;37;0.0
Boat 3;120;993;20;35;0.0
Boat 4;143;868;71;77;0.0
Boat 5;16;684;37;53;0.0
Boat 6;116;676;80;63;0.0
Boat 7;380;672;241;121;0.0
Boat 8;284;652;187;74;0.0
Boat 9;33;631;97;99;0.0
Boat 10;58;642;63;47;0.0
Boat 11;285;560;150;72;0.0
Boat 12;138;506;60;55;0.0
Boat 13;150;344;166;66;0.0
Boat 13;60;994;63;66;0.9342666666666667
Boat 13;120;992;20;37;0.9342666666666667
Boat 13;120;993;20;35;0.9342666666666667
Boat 13;143;868;71;77;0.9342666666666667
Boat 13;16;684;37;53;0.9342666666666667
Boat 13;116;676;80;63;0.9342666666666667
Boat 13;380;672;241;121;0.9342666666666667
Boat 13;284;652;187;74;0.9342666666666667
